token,label
"('form', 'ARTICLE0003')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ',')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Qué')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'el')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'sharenting')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'por')","('misc', None)"
"('form', 'qué')","('misc', None)"
"('form', 'es')","('misc', None)"
"('form', 'un')","('misc', None)"
"('form', 'problema')","('misc', None)"
"('form', 'moderno')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'paternidad')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', None)"
"('form', '¿')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Cuánto')","('misc', None)"
"('form', 'compartes')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'internet')","('misc', None)"
"('form', 'sobre')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'vida')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'tus')","('misc', None)"
"('form', 'hijos')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '?')","('misc', None)"
"('form', '¿')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'Y')","('misc', None)"
"('form', 'hasta')","('misc', None)"
"('form', 'qué')","('misc', None)"
"('form', 'punto')","('misc', None)"
"('form', 'quieres')","('misc', None)"
"('form', 'ver')","('misc', None)"
"('form', 'información')","('misc', None)"
"('form', 'sobre')","('misc', None)"
"('form', 'la')","('misc', None)"
"('form', 'vida')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'hijos')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'los')","('misc', None)"
"('form', 'demás')","('misc', None)"
"('form', 'en')","('misc', None)"
"('form', 'las')","('misc', None)"
"('form', 'redes')","('misc', None)"
"('form', 'sociales')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '?')","('misc', None)"
"('form', 'El')","('misc', None)"
"('form', '""')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'sharenting')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '""')","('misc', None)"
"('form', '-')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'un')","('misc', None)"
"('form', 'anglicismo')","('misc', None)"
"('form', 'que')","('misc', None)"
"('form', 'proviene')","('misc', None)"
"('form', 'de')","('misc', None)"
"('form', 'share')","('misc', None)"
"('form', '(')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'compartir')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ')')","('misc', None)"
"('form', 'y')","('misc', None)"
"('form', 'parenting')","('misc', None)"
"('form', '(')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', 'paternidad')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', ')')","('misc', OrderedDict([('SpaceAfter', 'No')]))"
"('form', '-')","('misc', None)"
